PID: 31439, PPID: 29759, Timestamp: 1724412854
PID: 31885, PPID: 31439, Timestamp: 1724412864
PID: 31886, PPID: 31439, Timestamp: 1724412864
PID: 31896, PPID: 31886, Timestamp: 1724412874
PID: 31894, PPID: 31885, Timestamp: 1724412874
PID: 31893, PPID: 31885, Timestamp: 1724412874
PID: 31895, PPID: 31886, Timestamp: 1724412874
PID: 31907, PPID: 31895, Timestamp: 1724412884
PID: 31911, PPID: 31896, Timestamp: 1724412884
PID: 31909, PPID: 31895, Timestamp: 1724412884
PID: 31912, PPID: 31894, Timestamp: 1724412884
PID: 31910, PPID: 31896, Timestamp: 1724412884
PID: 31906, PPID: 31893, Timestamp: 1724412884
PID: 31908, PPID: 31893, Timestamp: 1724412884
PID: 31913, PPID: 31894, Timestamp: 1724412884
PID: 31932, PPID: 31907, Timestamp: 1724412894
PID: 31931, PPID: 31911, Timestamp: 1724412894
PID: 31934, PPID: 31909, Timestamp: 1724412894
PID: 31935, PPID: 31912, Timestamp: 1724412894
PID: 31929, PPID: 31907, Timestamp: 1724412894
PID: 31937, PPID: 31910, Timestamp: 1724412894
PID: 31930, PPID: 31911, Timestamp: 1724412894
PID: 31939, PPID: 31910, Timestamp: 1724412894
PID: 31938, PPID: 31906, Timestamp: 1724412894
PID: 31936, PPID: 31912, Timestamp: 1724412894
PID: 31941, PPID: 31908, Timestamp: 1724412894
PID: 31942, PPID: 31908, Timestamp: 1724412894
PID: 31933, PPID: 31909, Timestamp: 1724412894
PID: 31940, PPID: 31906, Timestamp: 1724412894
PID: 31943, PPID: 31913, Timestamp: 1724412894
PID: 31944, PPID: 31913, Timestamp: 1724412894
